"genes","T_Penn_3","T_Penn_6","T_Penn_8","T_Penn_9","T_Penn_14","T_Penn_16","T_Penn_27","PT_Penn_15","PT_Penn_17","PT_Penn_18","PT_Penn_24","PT_Penn_25","PT_Penn_28","PT_Penn_4","PT_Penn_10"
"RAB27B",69.3236095417016,254.504202530751,72.9853945798961,117.067231711172,44.7169300650749,78.7197912800963,165.041012691654,233.784357308818,471.219370740902,543.122708701073,351.485878204474,931.15657202752,491.83015465326,282.509152119407,756.737094875871
"AP003068.18",0,1.60570474782808,0,0,0,0,0,10.790047260407,2.41650959354309,4.93747917000975,11.3382541356282,8.53153927250346,218.591179845893,23.5424293432839,18.8259783709679
"RP11-620J15.3",48.5265266791911,11.2399332347966,14.5970789159792,14.6334039638965,21.1817037150355,13.7447254616041,16.5041012691654,0,0,2.46873958500488,0,2.4375826492867,0,0,4.70649459274198
"RPL10P3",62.3912485875315,12.8456379826247,35.4500487959495,2.92668079277929,16.4746584450276,13.7447254616041,16.5041012691654,3.59668242013567,2.41650959354309,0,0,1.21879132464335,0,0,1.68089092597928
"KLHL14",34.6618047708508,0.802852373914042,12.5117819279822,23.4134463422343,16.4746584450276,31.2380124127366,16.5041012691654,0,0,0,0,2.4375826492867,0,0,2.35324729637099
"TCL1A",103.985414312552,3.21140949565617,56.3030186759198,19.0234251530654,80.019769590134,9.99616397207572,0,0,2.41650959354309,2.46873958500488,0,6.09395662321676,0,0,7.39592007430883
"FAM212B-AS1",0,4.81711424348425,0,2.92668079277929,0,1.24952049650946,16.5041012691654,39.5635066214923,19.3320767483447,22.2186562650439,34.0147624068846,52.4080269596641,54.6477949614733,0,15.8003747042052
"RNA5SP338",6.93236095417016,17.6627522261089,12.5117819279822,32.1934887205722,32.9493168900552,28.7389714197177,0,3.59668242013567,0,0,0,7.31274794786011,0,0,2.68942548156685
"NT5E",0,14.4513427304528,8.34118795198812,23.4134463422343,18.8281810800315,43.7332173778313,66.0164050766615,0,2.41650959354309,4.93747917000975,0,4.8751652985734,0,0,4.37031640754612
"DDX11L10",0,1.60570474782808,0,0,0,0,0,43.160189041628,0,2.46873958500488,158.735557898795,109.691219217902,0,11.771214671642,1.34471274078342
"LYPLAL1",27.7294438166806,32.9169473304757,29.1941578319584,24.876786738624,9.41409054001577,12.4952049650946,16.5041012691654,28.7734593610853,86.9943453675511,148.124375100293,249.44159098382,123.097923788978,54.6477949614733,11.771214671642,72.278309817109
"CPVL",0,8.02852373914042,8.34118795198812,16.0967443602861,14.1211358100237,1.24952049650946,0,10.790047260407,36.2476439031463,76.5309271351511,102.044287220654,14.6254958957202,0,47.0848586865679,72.6144880023048
