sample_id,vol_input,ACTB,CAPN6,HSD3B1,PSG7,S100A8,PKHD1L1,TBC1D15,RGS18,HAL,BPI,KRT8,CD180,OAZ1,CGA,HSPB8,VGLL1,S100A9,APLF,DGCR14,AVPR1A,ITIH2,CD24,MPO,ENAH,GAPDH,CGB,LGALS14,ANXA3,S100P,CPVL,DAPP1,TFIP11,KNG1,CEACAM6,NFATC1,SAMD9,CYP3A7,CSH1,PAPPA,CAMP,RAB27B,MMD,MOB1B,VCAN,OTC,CEACAM8,NFATC2,DCX ,FSTL3,CSH2,PLAC1,DEFA4,RAP1GAP,KLF9,PPBP,FABP1,SERPINA7,DEFA3,CNOT7,FRZB,SLC2A2,CSHL1,PLAC4,LTF,FAM212B-AS1,P2RY12,RPL23AP7,FGA,SLC4A1,ELANE,CD2,GNAZ,ADAM12,GH2,PSG1,MMP8,LYPLAL1,RAB11A,MAP3K7CL,FGB,ARG1,HMGB3,CD5,MEF2C,ALPP,HSD17B1,PSG4,PGLYRP1,FRMD4B,CLCN3,POLE2,SLC38A4,EPB42,HMGN2,CD160,PTGER3
NTC11,1ul,999,999,999,999,16.22728057,999,24.59204938,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,39.88935729,999,999,999,33.86766632,999,999,16.96477533,999,999,20.31647613,999,999,999,999,999,999,999,999,999,20.04776446,26.58403779,999,999,999,999,999,25.60345004,999,999,999,999,999,21.73420402,999,999,999,21.00333375,999,20.00882062,29.28471732,999,999,999,38.26371493,38.40899447,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,41.66169153,999,999,999,24.70356899,999,999,27.48369476,999,999,999,999,999
NTC12,1ul,999,999,999,999,16.11417455,999,26.88953958,41.37136877,999,999,25.95885929,999,999,999,999,999,999,999,999,999,999,20.53833018,999,999,999,999,999,999,21.45197274,16.88721385,999,999,18.5629831,25.92933898,999,999,999,999,999,999,999,999,23.07327115,999,999,999,999,999,22.00425479,26.1544897,999,999,999,999,999,999,999,999,999,23.08760401,999,20.83211552,21.32844927,999,999,40.20408198,36.50481302,32.31749939,999,999,999,999,999,999,999,43.83388751,999,999,999,999,999,999,999,999,999,999,999,24.244731,999,999,24.02019881,999,999,35.89790552,999,999
NTC13,1ul,31.06846098,999,999,39.96253648,16.11887253,999,28.02625004,999,999,999,999,999,999,999,999,26.68805263,999,999,999,999,999,999,999,999,999,999,999,999,999,16.23078695,999,999,26.97894183,22.64594482,999,999,999,999,999,999,999,999,20.7729438,999,999,999,999,999,999,26.04428356,999,999,999,999,999,999,999,999,999,999,999,20.40742615,29.96115013,999,999,999,33.87168025,33.28768334,999,999,999,26.01152322,999,999,999,999,999,999,999,999,999,999,999,31.41496221,999,999,999,24.2250622,999,22.47361296,23.11568174,999,999,999,999,999
NTC14,1ul,999,999,999,33.3934522,16.3123592,999,26.06460156,999,999,999,999,999,999,999,999,25.7330798,999,999,999,999,999,999,999,999,42.66539488,999,35.09852998,999,34.16842475,17.00637087,999,999,21.1892427,999,999,999,999,999,999,20.38931653,999,999,20.24102473,999,999,999,999,999,31.96813409,25.75413215,999,999,999,999,999,999,999,999,999,999,999,21.56276717,38.5963543,999,999,999,28.65153684,22.01282396,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,20.95147088,999,999,23.86228847,999,999,999,999,999
NTC15,1ul,999,999,999,999,16.33657653,999,37.77546682,999,999,999,999,999,999,999,999,999,999,999,999,42.99080891,999,999,999,999,21.63642565,999,999,999,999,17.08443629,999,999,19.80661568,999,999,999,999,999,999,999,999,999,20.66382425,24.77532982,999,999,999,999,999,26.68114874,999,999,20.70632776,999,999,999,999,999,999,999,999,20.79783064,999,999,999,999,31.57092919,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,23.39445564,999,999,999,999,24.59333936,999,999,24.59330822,999,999,999,999,999
NTC16,1ul,999,999,999,999,16.17047119,999,24.98621713,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,16.26001218,999,999,19.99205418,25.85886705,999,999,999,999,43.2999979,999,999,999,24.47304788,999,999,999,999,999,21.39109161,26.22857124,999,999,999,999,999,21.6043589,999,999,999,999,999,21.35580729,28.35210058,999,999,999,28.27200715,999,999,999,26.66925826,999,999,999,21.28100425,999,999,999,999,999,999,999,999,27.09356651,999,999,999,24.23385581,999,31.09302523,26.61808993,999,999,999,999,999
NTC17,1ul,999,999,999,999,16.09665517,999,29.81907793,32.35126505,999,999,999,999,999,999,999,41.78661307,999,999,999,999,999,999,999,999,23.49372728,999,999,999,999,17.10230696,999,999,24.73335403,999,999,999,999,999,999,999,999,999,21.51730388,31.18282676,999,999,999,999,38.91184045,25.44369613,999,999,999,999,999,999,999,999,999,999,999,20.2096305,25.95644517,999,999,999,31.55410959,41.31442069,999,999,999,35.10583119,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,24.27433153,999,27.85523778,25.40549081,999,999,999,999,24.886061
NTC18,1ul,999,999,999,999,15.84941368,999,26.67372884,35.31740601,999,999,999,999,23.84333801,999,999,25.63259832,999,999,999,38.35955071,999,999,999,999,999,999,29.07575142,999,999,16.60361987,999,999,19.53118017,999,999,999,999,999,999,999,999,999,21.23246266,999,999,42.58749777,999,999,999,27.37663903,999,999,999,999,999,21.72077539,999,999,999,999,999,22.31918974,27.36323798,26.17652238,999,999,999,38.25959333,999,999,999,40.07757453,999,999,999,999,999,999,999,999,999,21.94010544,999,999,999,999,999,20.37932964,999,999,23.41279119,999,999,999,999,999
NTC19,1ul,24.03566758,999,999,30.65742607,16.48799295,999,26.55178828,23.24992366,999,999,999,999,24.89360512,999,999,38.54714977,24.92237099,999,999,999,999,999,21.39852441,999,24.52616716,29.80952765,999,999,26.87770396,17.17342827,26.12362658,999,21.15957724,24.69082959,999,999,999,24.82378353,999,999,999,23.39129031,20.13767534,999,999,999,999,999,999,26.32888684,999,999,999,999,19.24957316,21.69430562,999,26.27075905,999,999,999,19.33692211,999,999,999,999,39.82398424,999,999,999,999,27.12751669,999,999,999,999,25.86126269,38.09730283,24.45978751,999,999,20.16903321,999,999,999,999,999,24.10036643,26.72624469,26.61546708,23.18945299,999,999,999,999,21.46073168
NTC20,1ul,999,999,999,999,16.86082739,999,30.44692006,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,18.02243707,999,999,27.02575339,22.19139577,999,999,999,999,999,999,999,999,22.56897621,999,999,999,999,999,23.01117748,27.1851521,999,999,999,999,999,999,999,999,999,999,999,20.44686688,32.90800333,999,999,999,29.03081013,41.80879385,999,999,999,999,999,999,999,999,999,32.96652355,999,999,999,999,999,999,999,999,999,24.65480537,999,999,25.86815418,999,999,999,999,999
