x,y
286540.982,2.27652
287054.4945,2.27362
287568.007,2.27073
288081.5195,2.26784
288595.032,2.26495
289108.5445,2.26207
289622.0571,2.2592
290135.5696,2.25633
290649.0821,2.25346
291162.5946,2.25061
291676.1071,2.24775
292189.6196,2.2449
292703.1321,2.24206
293216.6446,2.23922
293730.1572,2.23638
294243.6697,2.23355
294757.1822,2.23073
295270.6947,2.22791
295784.2072,2.22509
296297.7197,2.22228
296811.2322,2.21948
297324.7447,2.21668
297838.2573,2.21388
298351.7698,2.21109
298865.2823,2.20831
299378.7948,2.20553
299892.3073,2.20275
300405.8198,2.19998
300919.3323,2.19721
301432.8448,2.19445
301946.3574,2.19169
302459.8699,2.18894
302973.3824,2.18619
303486.8949,2.18345
304000.4074,2.18071
304513.9199,2.17797
305027.4324,2.17524
305540.9449,2.17252
306054.4575,2.1698
306567.97,2.16708
307081.4825,2.16437
307594.995,2.16167
308108.5075,2.15896
308622.02,2.15627
309135.5325,2.15357
309649.0451,2.15088
310162.5576,2.1482
310676.0701,2.14552
311189.5826,2.14284
311703.0951,2.14017
312216.6076,2.13751
312730.1201,2.13485
313243.6326,2.13219
313757.1452,2.12953
314270.6577,2.12688
314784.1702,2.12424
315297.6827,2.1216
315811.1952,2.11896
316324.7077,2.11633
316838.2202,2.1137
317351.7327,2.11108
317865.2453,2.10846
318378.7578,2.10585
318892.2703,2.10324
319405.7828,2.10063
319919.2953,2.09803
320432.8078,2.09543
320946.3203,2.09283
321459.8328,2.09024
321973.3454,2.08766
322486.8579,2.08508
323000.3704,2.0825
323513.8829,2.07993
324027.3954,2.07736
324540.9079,2.07479
325054.4204,2.07223
325567.9329,2.06967
326081.4455,2.06712
326594.958,2.06457
327108.4705,2.06203
327621.983,2.05948
328135.4955,2.05695
328649.008,2.05441
329162.5205,2.05189
329676.033,2.04936
330189.5456,2.04684
330703.0581,2.04432
331216.5706,2.04181
331730.0831,2.0393
332243.5956,2.03679
332757.1081,2.03429
333270.6206,2.03179
333784.1331,2.0293
334297.6457,2.02681
334811.1582,2.02432
335324.6707,2.02184
335838.1832,2.01936
336351.6957,2.01689
336865.2082,2.01441
337378.7207,2.01195
337892.2332,2.00948
338405.7458,2.00702
338919.2583,2.00457
339432.7708,2.00211
339946.2833,1.99966
340459.7958,1.99722
340973.3083,1.99478
341486.8208,1.99234
342000.3333,1.98991
342513.8459,1.98748
343027.3584,1.98505
343540.8709,1.98263
344054.3834,1.98021
344567.8959,1.97779
345081.4084,1.97538
345594.9209,1.97297
346108.4334,1.97056
346621.946,1.96816
347135.4585,1.96576
347648.971,1.96337
348162.4835,1.96098
348675.996,1.95859
349189.5085,1.95621
349703.021,1.95383
350216.5335,1.95145
350730.0461,1.94907
351243.5586,1.9467
351757.0711,1.94434
352270.5836,1.94197
352784.0961,1.93961
353297.6086,1.93726
353811.1211,1.93491
354324.6336,1.93256
354838.1462,1.93021
355351.6587,1.92787
355865.1712,1.92553
356378.6837,1.92319
356892.1962,1.92086
357405.7087,1.91853
357919.2212,1.9162
358432.7337,1.91388
358946.2463,1.91156
359459.7588,1.90925
359973.2713,1.90693
360486.7838,1.90463
361000.2963,1.90232
361513.8088,1.90002
362027.3213,1.89772
362540.8338,1.89542
363054.3464,1.89313
363567.8589,1.89084
364081.3714,1.88855
364594.8839,1.88627
365108.3964,1.88399
365621.9089,1.88171
366135.4214,1.87944
366648.9339,1.87717
367162.4465,1.8749
367675.959,1.87264
368189.4715,1.87038
368702.984,1.86812
369216.4965,1.86586
369730.009,1.86361
370243.5215,1.86136
370757.034,1.85912
371270.5466,1.85688
371784.0591,1.85464
372297.5716,1.8524
372811.0841,1.85017
373324.5966,1.84794
373838.1091,1.84571
374351.6216,1.84349
374865.1341,1.84127
375378.6467,1.83905
375892.1592,1.83684
376405.6717,1.83462
376919.1842,1.83242
377432.6967,1.83021
377946.2092,1.82801
378459.7217,1.82581
378973.2342,1.82361
379486.7468,1.82142
380000.2593,1.81923
380513.7718,1.81704
381027.2843,1.81485
381540.7968,1.81267
382054.3093,1.81049
382567.8218,1.80832
383081.3343,1.80614
383594.8469,1.80397
384108.3594,1.80181
384621.8719,1.79964
385135.3844,1.79748
385648.8969,1.79532
386162.4094,1.79317
386675.9219,1.79102
387189.4344,1.78887
387702.947,1.78672
388216.4595,1.78457
388729.972,1.78243
389243.4845,1.78029
389756.997,1.77816
390270.5095,1.77603
390784.022,1.7739
391297.5345,1.77177
391811.0471,1.76964
392324.5596,1.76752
392838.0721,1.7654
393351.5846,1.76329
393865.0971,1.76117
394378.6096,1.75906
394892.1221,1.75695
395405.6346,1.75485
395919.1472,1.75275
396432.6597,1.75065
396946.1722,1.74855
397459.6847,1.74646
397973.1972,1.74436
398486.7097,1.74228
399000.2222,1.74019
399513.7347,1.73811
400027.2473,1.73602
400540.7598,1.73395
401054.2723,1.73187
401567.7848,1.7298
402081.2973,1.72773
402594.8098,1.72566
403108.3223,1.7236
403621.8348,1.72153
404135.3474,1.71947
404648.8599,1.71742
405162.3724,1.71536
405675.8849,1.71331
406189.3974,1.71126
406702.9099,1.70921
407216.4224,1.70717
407729.9349,1.70513
408243.4475,1.70309
408756.96,1.70105
409270.4725,1.69902
409783.985,1.69699
410297.4975,1.69496
410811.01,1.69293
411324.5225,1.69091
411838.035,1.68889
412351.5476,1.68687
412865.0601,1.68485
413378.5726,1.68284
413892.0851,1.68083
414405.5976,1.67882
414919.1101,1.67681
415432.6226,1.67481
415946.1351,1.67281
416459.6477,1.67081
416973.1602,1.66881
417486.6727,1.66682
418000.1852,1.66483
418513.6977,1.66284
419027.2102,1.66085
419540.7227,1.65887
420054.2352,1.65689
420567.7478,1.65491
421081.2603,1.65293
421594.7728,1.65096
422108.2853,1.64899
422621.7978,1.64702
423135.3103,1.64505
423648.8228,1.64308
424162.3353,1.64112
424675.8479,1.63916
425189.3604,1.6372
425702.8729,1.63525
426216.3854,1.6333
426729.8979,1.63135
427243.4104,1.6294
427756.9229,1.62745
428270.4354,1.62551
428783.948,1.62357
429297.4605,1.62163
429810.973,1.61969
430324.4855,1.61776
430837.998,1.61582
431351.5105,1.61389
431865.023,1.61197
432378.5355,1.61004
432892.0481,1.60812
433405.5606,1.6062
433919.0731,1.60428
434432.5856,1.60237
434946.0981,1.60045
435459.6106,1.59854
435973.1231,1.59663
436486.6356,1.59472
437000.1482,1.59282
437513.6607,1.59092
438027.1732,1.58902
438540.6857,1.58712
439054.1982,1.58522
439567.7107,1.58333
440081.2232,1.58144
440594.7357,1.57955
441108.2483,1.57766
441621.7608,1.57578
442135.2733,1.57389
442648.7858,1.57201
443162.2983,1.57014
443675.8108,1.56826
444189.3233,1.56639
444702.8358,1.56451
445216.3484,1.56264
445729.8609,1.56078
446243.3734,1.55891
446756.8859,1.55705
447270.3984,1.55519
447783.9109,1.55333
448297.4234,1.55147
448810.9359,1.54962
449324.4485,1.54777
449837.961,1.54591
450351.4735,1.54407
450864.986,1.54222
451378.4985,1.54038
451892.011,1.53853
452405.5235,1.53669
452919.036,1.53486
453432.5486,1.53302
453946.0611,1.53119
454459.5736,1.52936
454973.0861,1.52753
455486.5986,1.5257
456000.1111,1.52387
456513.6236,1.52205
457027.1361,1.52023
457540.6487,1.51841
458054.1612,1.51659
458567.6737,1.51478
459081.1862,1.51297
459594.6987,1.51115
460108.2112,1.50935
460621.7237,1.50754
461135.2362,1.50573
461648.7488,1.50393
462162.2613,1.50213
462675.7738,1.50033
463189.2863,1.49853
463702.7988,1.49674
464216.3113,1.49495
464729.8238,1.49315
465243.3363,1.49137
465756.8489,1.48958
466270.3614,1.48779
466783.8739,1.48601
467297.3864,1.48423
467810.8989,1.48245
468324.4114,1.48067
468837.9239,1.4789
469351.4364,1.47712
469864.949,1.47535
470378.4615,1.47358
470891.974,1.47182
471405.4865,1.47005
471918.999,1.46829
472432.5115,1.46652
472946.024,1.46477
473459.5365,1.46301
473973.0491,1.46125
474486.5616,1.4595
475000.0741,1.45774
475513.5866,1.45599
476027.0991,1.45425
476540.6116,1.4525
477054.1241,1.45075
477567.6366,1.44901
478081.1492,1.44727
478594.6617,1.44553
479108.1742,1.44379
479621.6867,1.44206
480135.1992,1.44033
480648.7117,1.43859
481162.2242,1.43686
481675.7367,1.43514
482189.2493,1.43341
482702.7618,1.43169
483216.2743,1.42996
483729.7868,1.42824
484243.2993,1.42652
484756.8118,1.42481
485270.3243,1.42309
485783.8368,1.42138
486297.3494,1.41967
486810.8619,1.41796
487324.3744,1.41625
487837.8869,1.41454
488351.3994,1.41284
488864.9119,1.41114
489378.4244,1.40944
489891.9369,1.40774
490405.4495,1.40604
490918.962,1.40434
491432.4745,1.40265
491945.987,1.40096
492459.4995,1.39927
492973.012,1.39758
493486.5245,1.39589
494000.037,1.39421
494513.5496,1.39253
495027.0621,1.39084
495540.5746,1.38917
496054.0871,1.38749
496567.5996,1.38581
497081.1121,1.38414
497594.6246,1.38246
498108.1371,1.38079
498621.6497,1.37912
499135.1622,1.37746
499648.6747,1.37579
500162.1872,1.37413
500675.6997,1.37246
501189.2122,1.3708
501702.7247,1.36914
502216.2372,1.36749
502729.7498,1.36583
503243.2623,1.36418
503756.7748,1.36253
504270.2873,1.36088
504783.7998,1.35923
505297.3123,1.35758
505810.8248,1.35593
506324.3373,1.35429
506837.8499,1.35265
507351.3624,1.35101
507864.8749,1.34937
508378.3874,1.34773
508891.8999,1.3461
509405.4124,1.34446
509918.9249,1.34283
510432.4374,1.3412
510945.95,1.33957
511459.4625,1.33794
511972.975,1.33632
512486.4875,1.33469
513000,1.33307
